,DBN,school_name,school_type,administrative district,american indian/alaskan native removals or suspensions resulting from incidents where nypd was contacted,asian removals or suspensions resulting from incidents where nypd was contacted,black removals or suspensions resulting from incidents where nypd was contacted,hispanic removals or suspensions resulting from incidents where nypd was contacted,white removals or suspensions resulting from incidents where nypd was contacted,multi-racial removals or suspensions resulting from incidents where nypd was contacted,unknown removals or suspensions resulting from incidents where nypd was contacted,principal,removal,superintendent,expulsions,female removals or suspensions resulting from incidents where nypd was contacted,male removals or suspensions resulting from incidents where nypd was contacted,total removals or suspensions resulting from incidents where nypd was contacted
147,03M009,P.S. 009 Sarah Anderson,Elementary,3.0,3,3,3,3,3,3,3,3,0,0,0,3,3,3
148,03M054,J.H.S. 054 Booker T. Washington,Junior High-Intermediate-Middle,3.0,3,3,3,3,3,3,3,30,3,3,0,3,3,3
149,03M075,P.S. 075 Emily Dickinson,Elementary,3.0,3,3,3,3,3,3,3,0,7,0,0,3,3,3
150,03M076,P.S. 076 A. Philip Randolph,K-8,3.0,3,3,3,3,3,3,3,36,60,43,0,3,3,3
151,03M084,P.S. 084 Lillian Weber,Elementary,3.0,3,3,3,3,3,3,3,3,22,3,0,3,3,3
152,03M087,P.S. 087 William Sherman,Elementary,3.0,3,3,3,3,3,3,3,0,0,0,0,3,3,3
153,03M145,"P.S. 145, The Bloomingdale School",Elementary,3.0,3,3,3,3,3,3,3,3,15,3,0,3,3,3
154,03M149,P.S. 149 Sojourner Truth,K-8,3.0,3,3,3,3,3,3,3,3,0,3,0,3,3,3
155,03M163,P.S. 163 Alfred E. Smith,Elementary,3.0,3,3,3,3,3,3,3,3,17,3,0,3,3,3
156,03M165,P.S. 165 Robert E. Simon,K-8,3.0,3,3,3,3,3,3,3,3,24,3,0,3,3,3
157,03M166,P.S. 166 The Richard Rodgers School of The Arts an,Elementary,3.0,3,3,3,3,3,3,3,3,15,3,0,3,3,3
158,03M180,P.S. 180 Hugo Newman,K-8,3.0,3,3,3,3,3,3,3,9,45,15,0,3,3,3
159,03M185,The Locke School of Arts and Engineering,Elementary,3.0,3,3,3,3,3,3,3,3,30,3,0,3,3,3
160,03M191,The Riverside School for Makers and Artists,K-8,3.0,3,3,3,3,3,3,3,27,18,19,0,3,3,3
161,03M199,P.S. 199 Jessie Isador Straus,Elementary,3.0,3,3,3,3,3,3,3,3,3,0,0,3,3,3
162,03M241,STEM Institute of Manhattan,Elementary,3.0,3,3,3,3,3,3,3,3,3,0,0,3,3,3
163,03M242,P.S. 242 - The Young Diplomats Magnet Academy,Elementary,3.0,3,3,3,3,3,3,3,3,3,3,0,3,3,3
164,03M243,M.S. 243 Center School,Junior High-Intermediate-Middle,3.0,3,3,3,3,3,3,3,0,0,0,0,3,3,3
165,03M245,M.S. M245 The Computer School,Junior High-Intermediate-Middle,3.0,3,3,3,3,3,3,3,6,3,3,0,3,3,3
166,03M247,M.S. M247 Dual Language Middle School,Junior High-Intermediate-Middle,3.0,3,3,3,3,3,3,3,3,3,3,0,3,3,3
167,03M250,M.S. 250 West Side Collaborative Middle School,Junior High-Intermediate-Middle,3.0,3,3,3,3,3,3,3,34,3,3,0,3,3,3
168,03M256,Lafayette Academy,Junior High-Intermediate-Middle,3.0,3,3,3,3,3,3,3,10,27,22,0,3,3,3
169,03M258,Community Action School - MS 258,Junior High-Intermediate-Middle,3.0,3,3,3,3,3,3,3,28,23,15,0,3,3,3
170,03M291,West End Secondary School,Secondary School,3.0,3,3,3,3,3,3,3,14,8,0,0,3,3,3
171,03M299,The Maxine Greene HS for Imaginative Inquiry,High school,3.0,3,3,3,3,3,3,3,158,3,3,0,3,3,3
172,03M307,"Urban Assembly School for Media Studies, The",High school,3.0,3,3,3,3,3,3,3,55,3,3,0,3,3,3
173,03M333,P.S. 333 Manhattan School for Children,K-8,3.0,3,3,3,3,3,3,3,18,6,0,0,3,3,3
174,03M334,The Anderson School,K-8,3.0,3,3,3,3,3,3,3,3,0,0,0,3,3,3
