,DBN,school_name,school_type,administrative_district_code,american indian/alaskan native removals and/or suspensions resulting from incidents where nypd was contacted,asian removals and/or suspensions resulting from incidents where nypd was contacted,black removals and/or suspensions resulting from incidents where nypd was contacted,hispanic removals and/or suspensions resulting from incidents where nypd was contacted,multi-racial removals and/or suspensions resulting from incidents where nypd was contacted,unknown removals and/or suspensions resulting from incidents where nypd was contacted,white removals and/or suspensions resulting from incidents where nypd was contacted,principal,removal,superintendent,expulsions,female removals and/or suspensions resulting from incidents where nypd was contacted,male removals and/or suspensions resulting from incidents where nypd was contacted,sy1920_total_removals_suspensions removals and/or suspensions resulting from incidents where nypd was contacted
137,02M580,Richard R. Green High School of Teaching,High school,2.0,0,0,3,0,0,0,0,3,0,6,0,0,3,3
138,02M586,Harvey Milk High School,High school,2.0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
139,02M600,The High School of Fashion Industries,High school,2.0,0,0,3,3,0,0,0,13,0,3,0,3,3,3
140,02M605,Humanities Preparatory Academy,High school,2.0,0,0,3,0,0,0,0,3,0,0,0,0,3,3
141,02M615,Chelsea Career and Technical Education High School,High school,2.0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
142,02M630,Art and Design High School,High school,2.0,0,0,0,3,0,0,0,3,0,3,0,0,3,3
143,02M655,Life Sciences Secondary School,High school,2.0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
144,02M893,Jacob Riis School,Junior High-Intermediate-Middle,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,02M896,Lower Manhattan Community Middle School,Junior High-Intermediate-Middle,2.0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
146,02M902,Washington Irving Evng Hs T/R @NTHS,Ungraded,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,02M933,City Knoll Middle School,Junior High-Intermediate-Middle,2.0,0,0,0,3,0,0,0,20,3,12,0,0,3,3
148,02M972,Office of Academic Policy,Central-HQ-Citywide,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,03M009,P.S. 009 Sarah Anderson,Elementary,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,03M054,J.H.S. 054 Booker T. Washington,Junior High-Intermediate-Middle,3.0,0,0,3,0,0,0,0,17,3,3,0,0,3,3
151,03M075,P.S. 075 Emily Dickinson,Elementary,3.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
152,03M076,P.S. 076 A. Philip Randolph,K-8,3.0,0,0,0,0,0,0,0,14,19,16,0,0,0,0
153,03M084,P.S. 084 Lillian Weber,Elementary,3.0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
154,03M087,P.S. 087 William Sherman,Elementary,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,03M145,"P.S. 145, The Bloomingdale School",Elementary,3.0,0,0,0,0,0,0,0,3,11,3,0,0,0,0
156,03M149,P.S. 149 Sojourner Truth,K-8,3.0,0,0,3,0,0,0,0,3,3,3,0,3,3,3
157,03M163,P.S. 163 Alfred E. Smith,Elementary,3.0,0,0,0,0,0,0,0,0,3,3,0,0,0,0
158,03M165,P.S. 165 Robert E. Simon,Elementary,3.0,0,0,0,3,0,0,0,3,12,0,0,0,3,3
159,03M166,P.S. 166 The Richard Rodgers School of The Arts an,Elementary,3.0,0,0,3,0,0,0,0,3,6,0,0,3,0,3
160,03M180,P.S. 180 Hugo Newman,K-8,3.0,0,0,0,0,0,0,0,3,7,13,0,0,0,0
161,03M185,The Locke School of Arts and Engineering,Elementary,3.0,0,0,0,0,0,0,0,3,11,3,0,0,0,0
162,03M191,The Riverside School for Makers and Artists,K-8,3.0,0,0,3,0,0,0,0,3,3,3,0,0,3,3
163,03M199,P.S. 199 Jessie Isador Straus,Elementary,3.0,0,0,0,0,0,0,0,3,3,0,0,0,0,0
164,03M241,STEM Institute of Manhattan,Elementary,3.0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
165,03M242,P.S. 242 - The Young Diplomats Magnet Academy,Elementary,3.0,0,0,0,0,0,0,0,3,3,3,0,0,0,0
166,03M243,M.S. 243 Center School,Junior High-Intermediate-Middle,3.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,03M245,M.S. M245 The Computer School,Junior High-Intermediate-Middle,3.0,0,0,0,0,0,0,0,3,0,3,0,0,0,0
168,03M247,M.S. M247 Dual Language Middle School,Junior High-Intermediate-Middle,3.0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
169,03M250,M.S. 250 West Side Collaborative Middle School,Junior High-Intermediate-Middle,3.0,0,0,0,0,0,0,0,34,3,11,0,0,0,0
170,03M256,Lafayette Academy,Junior High-Intermediate-Middle,3.0,0,0,3,3,0,0,0,9,10,3,0,3,0,3
171,03M258,Community Action School - MS 258,Junior High-Intermediate-Middle,3.0,0,0,0,0,0,0,0,14,14,3,0,0,0,0
172,03M291,West End Secondary School,Secondary School,3.0,0,0,0,0,0,0,0,3,3,3,0,0,0,0
173,03M299,The Maxine Greene HS for Imaginative Inquiry,High school,3.0,0,0,0,3,0,3,0,41,13,3,0,3,3,3
174,03M307,"Urban Assembly School for Media Studies, The",High school,3.0,0,0,3,3,0,0,0,29,0,3,0,3,3,3
175,03M333,P.S. 333 Manhattan School for Children,K-8,3.0,0,0,0,3,0,0,0,3,3,3,0,0,3,3
176,03M334,The Anderson School,K-8,3.0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
