,DBN,school_name,school_type,administrative district,american indian/alaskan native removals or suspensions resulting from incidents where nypd was contacted,asian removals or suspensions resulting from incidents where nypd was contacted,black removals or suspensions resulting from incidents where nypd was contacted,hispanic removals or suspensions resulting from incidents where nypd was contacted,white removals or suspensions resulting from incidents where nypd was contacted,multi-racial removals or suspensions resulting from incidents where nypd was contacted,unknown removals or suspensions resulting from incidents where nypd was contacted,principal,removal,superintendent,expulsions,female removals or suspensions resulting from incidents where nypd was contacted,male removals or suspensions resulting from incidents where nypd was contacted,total removals or suspensions resulting from incidents where nypd was contacted
94,03M247,M.S. M247 Dual Language Middle School,Junior High-Intermediate-Middle,3.0,3,3,3,3,3,3,3,7,6,3,0,3,3,0
95,03M291,West End Secondary School,Secondary School,3.0,3,3,3,3,3,3,3,18,3,10,0,3,3,0
96,03M333,P.S. 333 Manhattan School for Children,K-8,3.0,3,3,3,3,3,3,3,89,9,11,0,3,3,0
97,03M334,The Anderson School,K-8,3.0,3,3,3,3,3,3,3,3,0,0,0,3,3,0
98,03M415,Wadleigh Secondary School for the Performing & Vis,Secondary School,3.0,3,3,3,3,3,3,3,0,0,0,0,3,3,0
99,03M452,P.S. 452,Elementary,3.0,3,3,3,3,3,3,3,16,20,3,0,3,3,0
100,03M479,Beacon High School,High school,3.0,3,3,3,3,3,3,3,10,0,0,0,3,3,0
101,03M505,Edward A. Reynolds West Side High School,High school,3.0,3,3,3,3,3,3,3,38,16,13,0,3,3,0
102,03M541,Manhattan / Hunter Science High School,High school,3.0,3,3,3,3,3,3,3,7,0,3,0,3,3,0
103,03M862,Mott Hall II,Junior High-Intermediate-Middle,3.0,3,3,3,3,3,3,3,6,0,0,0,3,3,0
104,04M012,Tag Young Scholars,K-8,4.0,3,3,3,3,3,3,3,8,0,3,0,3,3,0
105,04M037,River East Elementary,Elementary,4.0,3,3,3,3,3,3,3,3,0,7,0,3,3,0
106,04M050,P.S. 050 Vito Marcantonio,K-8,4.0,3,3,3,3,3,3,3,29,0,8,0,3,3,0
