,year,building_code,dbn,location_name,address,borough,register,major_crimes,other_crimes,non_criminal,property_crimes,violent_crimes,population_group,population_range,latitude,longitude
2513,2014-15,K260,19K325,The Fresh Creek School,875 WILLIAMS AVENUE,K,249,0.0,0.0,0.0,0.0,0.0,2C,1-250,40.654031,-73.894854
2514,2014-15,K261,15K261,P.S. 261 Philip Livingston,314 PACIFIC STREET,K,803,0.0,0.0,1.0,0.0,0.0,5C,751-1000,40.687466,-73.988288
2515,2014-15,K262,16K262,P.S. 262 El Hajj Malik El Shabazz Elementary Schoo,500 MACON STREET,K,467,0.0,1.0,3.0,1.0,0.0,3C,251-500,40.683241,-73.930813
2516,2014-15,K263,23K323,P.S./I.S. 323,210 CHESTER STREET,K,438,,,,,,3C,251-500,40.666545,-73.910904
2517,2014-15,K263,23K671,Mott Hall Bridges Academy,210 CHESTER STREET,K,191,,,,,,2C,1-250,40.666545,-73.910904
2518,2014-15,K263,,210 CHESTER STREET CONSOLIDATED LOCATION,210 CHESTER STREET,K,629,1.0,1.0,0.0,2.0,0.0,4C,501-750,40.666545,-73.910904
2519,2014-15,K264,20K264,P.S. 264 BAY RIDGE ELEMENTARY SCHOOL FOR THE ARTS,371 89th Street,K,464,0.0,0.0,0.0,0.0,0.0,3C,251-500,40.620957,-74.03015
2520,2014-15,K265,13K265,Dr. Susan S. McKinney Secondary School of the Arts,101 PARK AVENUE,K,421,0.0,5.0,6.0,1.0,4.0,3C,251-500,40.696324,-73.97578
2521,2014-15,K268,18K268,P.S. 268 Emma Lazarus,133 EAST  53 STREET,K,438,0.0,0.0,0.0,0.0,0.0,3C,251-500,40.657131,-73.928018
2522,2014-15,K269,22K269,P.S. 269 Nostrand,1957 NOSTRAND AVENUE,K,383,1.0,0.0,0.0,0.0,1.0,3C,251-500,40.637711,-73.948159
2523,2014-15,K270,13K270,P.S. 270 Johann DeKalb,241 EMERSON PLACE,K,153,,,,,,2C,1-250,40.690202,-73.961478
2524,2014-15,K270,84K702,COMMUNITY PARTNERSHIP CHARTER SCHOOL(BN),241 EMERSON PLACE,K,,,,,,,,,40.690202,-73.961478
2525,2014-15,K270,,241 EMERSON PLACE CONSOLIDATED LOCATION,241 EMERSON PLACE,K,153,0.0,0.0,0.0,0.0,0.0,2C,1-250,40.690202,-73.961478
2526,2014-15,K271,23K522,Mott Hall IV,1137 HERKIMER STREET,K,183,,,,,,2C,1-250,40.677805,-73.915843
2527,2014-15,K271,23K644,Eagle Academy for Young Men II,1137 HERKIMER STREET,K,576,,,,,,4C,501-750,40.677805,-73.915843
2528,2014-15,K271,23K777,OCEAN HILL COLLEGIATE CHARTER SCHOOL(BN),1137 HERKIMER STREET,K,,,,,,,,,40.677805,-73.915843
2529,2014-15,K271,,1137 HERKIMER STREET CONSOLIDATED LOCATION,1137 HERKIMER STREET,K,759,1.0,7.0,1.0,4.0,3.0,5C,751-1000,40.677805,-73.915843
2530,2014-15,K272,18K272,P.S. 272 Curtis Estabrook,101-24 SEAVIEW AVENUE,K,509,0.0,0.0,0.0,0.0,0.0,4C,501-750,40.635916,-73.886412
2531,2014-15,K273,19K273,P.S. 273 Wortman,923 JEROME STREET,K,340,0.0,1.0,0.0,0.0,1.0,3C,251-500,40.657922,-73.879354
2532,2014-15,K274,32K274,P.S. 274 Kosciusko,800 BUSHWICK AVENUE,K,555,0.0,0.0,0.0,0.0,0.0,4C,501-750,40.694921,-73.927931
2533,2014-15,K275,23K518,Kappa V,985 ROCKAWAY AVENUE,K,194,,,,,,2C,1-250,40.656068,-73.907245
2534,2014-15,K275,23K643,Brooklyn Democracy Academy,985 ROCKAWAY AVENUE,K,212,,,,,,2C,1-250,40.656068,-73.907245
2535,2014-15,K275,23K647,Metropolitan Diploma Plus High School,985 ROCKAWAY AVENUE,K,192,,,,,,2C,1-250,40.656068,-73.907245
2536,2014-15,K275,23K711,LEADERSHIP PREP BROWNSVILLE CHARTER SCHOOL(BN),985 ROCKAWAY AVENUE,K,,,,,,,,,40.656068,-73.907245
2537,2014-15,K275,,985 ROCKAWAY AVENUE CONSOLIDATED LOCATION,985 ROCKAWAY AVENUE,K,598,1.0,4.0,8.0,2.0,1.0,4C,501-750,40.656068,-73.907245
2538,2014-15,K276,18K276,P.S. 276 Louis Marshall,1070 EAST  83 STREET,K,754,0.0,2.0,0.0,1.0,0.0,5C,751-1000,40.634085,-73.907925
2539,2014-15,K277,22K277,P.S. 277 Gerritsen Beach,2529 GERRITSEN AVENUE,K,457,0.0,1.0,0.0,1.0,0.0,3C,251-500,40.596145,-73.928793
2540,2014-15,K278,22K278,J.H.S. 278 Marine Park,1925 STUART STREET,K,997,0.0,4.0,3.0,2.0,2.0,5C,751-1000,40.60665,-73.939176
2541,2014-15,K279,18K279,P.S. 279 Herman Schreiber,1070 EAST 104 STREET,K,515,0.0,0.0,2.0,0.0,0.0,4C,501-750,40.644203,-73.892264
2542,2014-15,K281,21K281,I.S. 281 Joseph B Cavallaro,8787 24 AVENUE,K,1159,0.0,2.0,2.0,1.0,0.0,6C,1001-1250,40.595341,-73.993457
2543,2014-15,K282,13K282,P.S. 282 Park Slope,180 6 AVENUE,K,930,2.0,4.0,8.0,2.0,4.0,5C,751-1000,40.67634,-73.977367
2544,2014-15,K284,23K284,P.S. 284 Lew Wallace,213 OSBORN STREET,K,560,0.0,1.0,6.0,1.0,0.0,4C,501-750,40.667377,-73.908214
2545,2014-15,K285,18K285,I.S. 285 Meyer Levin,5909 BEVERLY ROAD,K,807,0.0,3.0,0.0,3.0,0.0,5C,751-1000,40.646877,-73.920977
2546,2014-15,K287,13K287,P.S. 287 Bailey K. Ashford,50 NAVY STREET,K,199,3.0,0.0,1.0,3.0,0.0,2C,1-250,40.697901,-73.98054
2547,2014-15,K843,75K004,P.S. K004,530 STANLEY AVENUE,K,353,0.0,0.0,0.0,0.0,0.0,3C,251-500,40.657212,-73.888852
2548,2014-15,K288,21K288,P.S. 288 The Shirley Tanyhill,2950 WEST  25 STREET,K,503,0.0,3.0,2.0,2.0,1.0,4C,501-750,40.574411,-73.99194
2549,2014-15,K289,17K289,P.S. 289 George V. Brower,900 ST MARKS AVENUE,K,433,0.0,1.0,2.0,1.0,0.0,3C,251-500,40.674794,-73.942639
