,DBN,school_name,school_category,district_code,american_indian_or_alaskan_native,asian,black,hispanic,white,multi_racial,unknown
222,05M046,P.S. 046 Arthur Tappan,k-8,5,3,3,12,3,3,3,3
223,05M092,P.S. 092 Mary McLeod Bethune,elementary,5,3,3,3,3,3,3,3
224,05M123,P.S. 123 Mahalia Jackson,k-8,5,3,3,8,3,3,3,3
225,05M125,P.S. 125 Ralph Bunche,elementary,5,3,3,3,3,3,3,3
226,05M129,P.S. 129 John H. Finley,k-8,5,3,3,3,3,3,3,3
227,05M133,P.S. 133 Fred R Moore,elementary,5,3,3,3,3,3,3,3
228,05M148,Eagle Academy for Young Men of Harlem,secondary school,5,3,3,3,3,3,3,3
229,05M154,P.S. 154 Harriet Tubman,elementary,5,3,3,3,3,3,3,3
230,05M157,The Urban Assembly School for Global Commerce,high school,5,3,3,13,7,3,3,3
231,05M161,P.S. 161 Pedro Albizu Campos,k-8,5,3,3,8,3,3,3,3
232,05M175,P.S. 175 Henry H Garnet,elementary,5,3,3,14,3,3,3,3
233,05M194,P.S. 194 Countee Cullen,elementary,5,3,3,3,3,3,3,3
234,05M197,P.S. 197 John B. Russwurm,elementary,5,3,3,3,3,3,3,3
235,05M200,P.S. 200- The James McCune Smith School,elementary,5,3,3,3,3,3,3,3
236,05M285,Harlem Renaissance High School,high school,5,3,3,3,3,3,3,3
237,05M286,Urban Assembly Academy for Future Leaders,junior high-intermediate-middle,5,3,3,3,3,3,3,3
238,05M304,Mott Hall High School,high school,5,3,3,8,3,3,3,3
239,05M318,Thurgood Marshall Academy Lower School,elementary,5,3,3,3,3,3,3,3
240,05M362,Columbia Secondary School,secondary school,5,3,3,3,3,3,3,3
241,05M369,Urban Assembly School for the Performing Arts,high school,5,3,3,3,3,3,3,3
242,05M499,Frederick Douglass Academy,secondary school,5,3,3,13,3,3,3,3
243,05M514,New Design Middle School,junior high-intermediate-middle,5,3,3,3,3,3,3,3
244,05M517,Teachers College Community School,k-8,5,3,3,3,3,3,3,3
245,05M670,Thurgood Marshall Academy for Learning and Social,secondary school,5,3,3,6,3,3,3,3
246,05M692,"High School for Mathematics, Science and Engineeri",high school,5,3,3,3,3,3,3,3
247,06M004,P.S. 004 Duke Ellington,elementary,6,3,3,3,3,3,3,3
248,06M005,P.S. 005 Ellen Lurie,elementary,6,3,3,3,3,3,3,3
249,06M008,P.S. 008 Luis Belliard,elementary,6,3,3,3,3,3,3,3
250,06M018,P.S. 018 Park Terrace,k-8,6,3,3,3,3,3,3,3
251,06M028,P.S. 028 Wright Brothers,elementary,6,3,3,3,3,3,3,3
252,06M048,P.S. 048 P.O. Michael J. Buczek,elementary,6,3,3,3,3,3,3,3
253,06M052,Harold O. Levy School,junior high-intermediate-middle,6,3,3,3,3,3,3,3
254,06M098,P.S. 098 Shorac Kappock,elementary,6,3,3,3,3,3,3,3
255,06M103,Dos Puentes Elementary School,elementary,6,3,3,3,3,3,3,3
256,06M115,P.S. 115 Alexander Humboldt,elementary,6,3,3,3,3,3,3,3
257,06M128,P.S. 128 Audubon,elementary,6,3,3,3,3,3,3,3
258,06M132,P.S. 132 Juan Pablo Duarte,elementary,6,3,3,3,3,3,3,3
259,06M143,J.H.S. 143 Eleanor Roosevelt,junior high-intermediate-middle,6,3,3,3,3,3,3,3
260,06M152,P.S. 152 Dyckman Valley,elementary,6,3,3,3,3,3,3,3
261,06M153,P.S. 153 Adam Clayton Powell,elementary,6,3,3,3,3,3,3,3
262,06M173,P.S. 173,elementary,6,3,3,3,3,3,3,3
263,06M178,Professor Juan Bosch Public School,elementary,6,3,3,3,3,3,3,3
264,06M187,P.S./I.S. 187 Hudson Cliffs,k-8,6,3,3,3,3,3,3,3
265,06M189,P.S. 189,elementary,6,3,3,3,3,3,3,3
266,06M192,P.S. 192 Jacob H. Schiff,elementary,6,3,3,3,3,3,3,3
267,06M209,Hamilton Grange Middle School,junior high-intermediate-middle,6,3,3,3,3,3,3,3
268,06M210,P.S./I.S. 210 - Twenty-first Century Academy for C,k-8,6,3,3,3,3,3,3,3
269,06M211,Inwood Early College for Health and Information Te,high school,6,3,3,3,3,3,3,3
270,06M223,The Mott Hall School,junior high-intermediate-middle,6,3,3,3,3,3,3,3
271,06M278,Paula Hedbavny School,k-8,6,3,3,3,3,3,3,3
272,06M293,City College Academy of the Arts,secondary school,6,3,3,3,3,3,3,3
273,06M311,Amistad Dual Language School,k-8,6,3,3,3,3,3,3,3
274,06M314,Muscota,elementary,6,3,3,3,3,3,3,3
275,06M319,M.S. 319 - Maria Teresa,junior high-intermediate-middle,6,3,3,3,3,3,3,3
