,DBN,Location Name,Location Type,Total SW & GC,Total GC,Full Time,Part Time,Bilingual,Serving more than one location,SY2016-17 Enrollment,Ratio GC & SW,Ratio GC Only
651,12X446,12X446 - ARTURO A. SCHOMBURG SATELLITE ACADEMY BRONX,HIGH SCHOOL                        ,2.0,1.0,1.0,0.0,1.0,0.0,164.0,82.0,164.0
652,12X458,12X458 - SAMARA COMMUNITY SCHOOL,ELEMENTARY,1.0,1.0,1.0,0.0,0.0,0.0,172.0,172.0,172.0
653,12X463,12X463 - URBAN SCHOLARS COMMUNITY SCHOOL,ELEMENTARY                         ,1.0,1.0,1.0,0.0,0.0,0.0,279.0,279.0,279.0
654,12X478,12X478 - THE CINEMA SCHOOL,HIGH SCHOOL                        ,2.0,2.0,2.0,0.0,0.0,0.0,310.0,155.0,155.0
655,12X479,12X479 - BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL,HIGH SCHOOL                        ,4.0,3.0,3.0,0.0,0.0,0.0,296.0,74.0,99.0
656,12X480,12X480 - BRONX REGIONAL HIGH SCHOOL,HIGH SCHOOL                        ,2.0,1.0,1.0,0.0,0.0,0.0,237.0,119.0,237.0
657,12X511,12X511 - BRONX ENVISION ACADEMY,HIGH SCHOOL                        ,1.0,1.0,1.0,0.0,0.0,0.0,401.0,401.0,401.0
658,12X521,12X521 - THE METROPOLITAN SOUNDVIEW HIGH SCHOOL,HIGH SCHOOL                        ,2.0,2.0,2.0,0.0,1.0,0.0,423.0,212.0,212.0
659,12X531,12X531 - ARCHER ELEMENTARY SCHOOL,ELEMENTARY                         ,3.0,1.0,1.0,0.0,0.0,0.0,497.0,166.0,497.0
660,12X536,12X536 - P.S. 536,ELEMENTARY                         ,1.0,1.0,1.0,0.0,0.0,0.0,448.0,448.0,448.0
661,12X550,12X550 - HIGH SCHOOL OF WORLD CULTURES,HIGH SCHOOL                        ,4.0,2.0,2.0,0.0,0.0,0.0,440.0,110.0,220.0
662,12X682,12X682 - FANNIE LOU HAMER FREEDOM HIGH SCHOOL,HIGH SCHOOL                        ,3.0,1.0,1.0,0.0,0.0,0.0,483.0,121.0,242.0
663,12X684,12X684 - WINGS ACADEMY,HIGH SCHOOL                        ,2.0,2.0,2.0,0.0,0.0,0.0,489.0,163.0,163.0
664,12X691,12X691 - BRONX LITTLE SCHOOL,ELEMENTARY                         ,1.0,1.0,1.0,0.0,0.0,0.0,318.0,318.0,318.0
665,13K003,13K003 - P.S. 003 THE BEDFORD VILLAGE,ELEMENTARY                         ,2.0,1.0,1.0,0.0,0.0,0.0,431.0,216.0,431.0
666,13K008,13K008 - P.S. 008 ROBERT FULTON,K-8                                ,2.0,2.0,2.0,0.0,0.0,0.0,947.0,316.0,316.0
667,13K009,13K009 - P.S. 009 TEUNIS G. BERGEN,ELEMENTARY                         ,2.0,1.0,1.0,0.0,0.0,0.0,866.0,433.0,866.0
668,13K011,13K011 - P.S. 011 PURVIS J. BEHAN,ELEMENTARY                         ,1.0,1.0,1.0,0.0,0.0,0.0,876.0,876.0,876.0
669,13K020,13K020 - P.S. 020 CLINTON HILL,ELEMENTARY                         ,1.0,0.0,0.0,0.0,0.0,0.0,410.0,410.0,
670,13K044,13K044 - P.S. 044 MARCUS GARVEY,ELEMENTARY                         ,1.4,0.4,0.0,0.4,0.0,0.0,205.0,103.0,205.0
671,13K046,13K046 - P.S. 046 EDWARD C. BLUM,ELEMENTARY                         ,1.6,0.6,0.0,0.6,0.0,0.6,320.0,160.0,320.0
672,13K054,13K054 - P.S. 054 SAMUEL C. BARNES,ELEMENTARY                         ,0.4,0.4,0.0,0.4,0.0,0.4,242.0,242.0,242.0
673,13K056,13K056 - P.S. 056 LEWIS H. LATIMER,ELEMENTARY                         ,2.0,1.0,1.0,0.0,0.0,0.0,201.0,101.0,201.0
674,13K067,13K067 - P.S. 067 CHARLES A. DORSEY,ELEMENTARY                         ,1.0,1.0,1.0,0.0,0.0,0.0,223.0,223.0,223.0
675,13K093,13K093 - P.S. 093 WILLIAM H. PRESCOTT,ELEMENTARY                         ,1.0,1.0,1.0,0.0,0.0,0.0,291.0,291.0,291.0
676,13K113,13K113 - M.S. 113 RONALD EDMONDS LEARNING CENTER,JUNIOR HIGH-INTERMEDIATE-MIDDLE    ,1.0,1.0,1.0,0.0,0.0,0.0,321.0,321.0,321.0
677,13K133,13K133 - P.S. 133 WILLIAM A. BUTLER,ELEMENTARY                         ,1.2,1.0,1.0,0.0,0.0,0.0,742.0,371.0,742.0
678,13K256,13K256 - P.S. 256 BENJAMIN BANNEKER,ELEMENTARY,1.4,0.4,0.0,0.4,0.0,0.0,267.0,134.0,267.0
679,13K265,13K265 - DR. SUSAN S. MCKINNEY SECONDARY SCHOOL OF THE ARTS,SECONDARY SCHOOL                   ,2.0,2.0,2.0,0.0,0.0,0.0,401.0,201.0,201.0
680,13K266,13K266 - M.S. K266 - PARK PLACE COMMUNITY MIDDLE SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE    ,1.6,1.0,1.0,0.0,0.0,0.0,166.0,83.0,166.0
681,13K270,13K270 - P.S. 270 JOHANN DEKALB,ELEMENTARY                         ,0.0,0.0,0.0,0.0,0.0,0.0,134.0,,
682,13K282,13K282 - P.S. 282 PARK SLOPE,K-8                                ,2.0,1.0,1.0,0.0,0.0,0.0,821.0,411.0,821.0
683,13K287,13K287 - P.S. 287 BAILEY K. ASHFORD,ELEMENTARY                         ,1.0,1.0,1.0,0.0,0.0,0.0,200.0,200.0,200.0
684,13K301,13K301 - SATELLITE EAST MIDDLE SCHOOL,JUNIOR HIGH-INTERMEDIATE-MIDDLE    ,1.0,1.0,1.0,0.0,0.0,0.0,105.0,105.0,105.0
685,13K305,13K305 - P.S. 305 DR. PETER RAY,ELEMENTARY                         ,2.0,1.0,1.0,0.0,0.0,0.0,148.0,74.0,148.0
686,13K307,13K307 - P.S. 307 DANIEL HALE WILLIAMS,ELEMENTARY                         ,2.0,1.0,1.0,0.0,0.0,0.0,383.0,192.0,383.0
