,DBN,School Name,Student Response Rate,Number of student respondents,Number of eligible students,Safety and respect score,Communication score,Engagement score,Academic expectation score
1624,84X394,Mott Haven Academy Charter School,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
1625,84X395,"NYC CHARTER HIGH SCHOOL FOR ARCHITECTURE, ENGINEER",88.0,263.0,298.0,5.7,6.0,5.5,6.8
1626,84X398,Bronx Community Charter School,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
1627,84X407,Bronx Charter School for Children,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
1628,84X419,Bronx Academy of Promise Charter School,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
1629,84X422,Icahn Charter School 3,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
1630,84X461,Metropolitan Lighthouse Charter School,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
1631,84X482,Dr. Izquierdo Health and Science Charter School,98.0,92.0,94.0,6.5,5.9,6.8,7.1
1632,84X487,Girls Preparatory Charter School of the Bronx,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
1633,84X488,The Equality Charter School,98.0,212.0,216.0,6.6,6.6,7.2,7.7
1634,84X491,Academic Leadership Charter School,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
1635,84X493,Bronx Success Academy Charter School 1,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
1636,84X494,Bronx Success Academy Charter School 2,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
1637,84X496,Icahn Charter School 4,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
1638,84X499,Kingsbridge Innovative Design Charter School (KIDC,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
1639,84X703,Bronx Prep Charter School,70.0,418.0,601.0,6.6,6.4,6.9,7.5
1640,84X704,KIPP Academy Charter School,65.0,180.0,276.0,7.5,6.9,7.1,8.0
1641,84X705,Family Life Academy Charter School,100.0,76.0,76.0,9.2,8.6,9.3,9.5
1642,84X706,Harriet Tubman Charter School,97.0,144.0,148.0,6.5,6.2,6.8,7.9
1643,84X717,Icahn Charter School 1,100.0,109.0,109.0,7.4,6.3,7.6,8.3
1644,84X718,Bronx Charter School for Better Learning,-1.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0
1645,84X730,Bronx Charter School for Arts,100.0,19.0,19.0,7.4,8.8,8.4,8.7
